# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionsCount,1776231986115000000,1776232038701000000,0
NonBlockingReadAction.finalizedExecutionsCount,1776231986115000000,1776232038701000000,23
NonBlockingReadAction.finalizedExecutionTimeUs,1776231986115000000,1776232038701000000,101566
AWTEventQueue.dispatchTimeTotalNS,1776231986115000000,1776232038701000000,6843087738
NonBlockingReadAction.failedExecutionTimeUs,1776231986115000000,1776232038701000000,0
JVM.usedNativeBytes,1776231986115000000,1776232038701000000,389191352
JVM.maxThreadCount,1776231986115000000,1776232038701000000,128
JVM.totalTimeAtSafepointsMs,1776231986115000000,1776232038701000000,358
JVM.totalBytesAllocated,1776231986115000000,1776232038701000000,5095595864
JVM.GC.collections,1776231986115000000,1776232038701000000,62
MEM.ramBytes,1776231986115000000,1776232038701000000,1326546944
JVM.totalCpuTimeMs,1776231986115000000,1776232038701000000,62587
JVM.committedHeapBytes,1776231986115000000,1776232038701000000,619708416
OS.loadAverage,1776231986115000000,1776232038701000000,5.32470703125
JVM.threadCount,1776231986115000000,1776232038701000000,117
JVM.totalDirectByteBuffersBytes,1776231986115000000,1776232038701000000,46467080
JVM.maxHeapBytes,1776231986115000000,1776232038701000000,2147483648
MEM.fileMappingsRamBytes,1776231986115000000,1776232038701000000,427442176
JVM.totalTimeToSafepointsMs,1776231986115000000,1776232038701000000,55
JVM.GC.collectionTimesMs,1776231986115000000,1776232038701000000,354
MEM.ramMinusFileMappingsBytes,1776231986115000000,1776232038701000000,899088384
MEM.ramPlusSwapMinusFileMappingsBytes,1776231986115000000,1776232038701000000,2015876064
JVM.totalSafepointCount,1776231986115000000,1776232038701000000,132
JVM.newThreadsCount,1776231986115000000,1776232038701000000,163
JVM.usedHeapBytes,1776231986115000000,1776232038701000000,347033000
lexer.IgnoreLang.size.bytes,1776231986115000000,1776232038701000000,0
