id,region,resp,__time__
G79NDU5W735C  ,965,"infoList:<PlanID:14 HeroUidList:""FHNDJWD3NPC"" HeroUidList:""FHND6PS4QMC"" HeroUidList:""FHND46OOXSF"" HeroUidList:""FHND4L3OFUC"" HeroUidList:""FHND4GE3321"" WallSkillList:0 WallSkillList:0 WallSkillList:0 > isInit:false ",1743667071
PFOGND9UZS3QC  ,2558,"infoList:<PlanID:1 HeroUidList:""FHNDEYGENPC"" HeroUidList:""FHND9UZZS9C"" HeroUidList:""FHNDE2HT0YC"" HeroUidList:""FHND9YQANJC"" HeroUidList:""FHND9U8WQ9F"" > infoList:<PlanID:5 HeroUidList:""FHND9YQANJC"" HeroUidList:""FHND9UZZS9C"" HeroUidList:""FHNDEYGENPC"" HeroUidList:""FHND9U8WQ9F"" HeroUidList:""FHNDE2HT0YC"" heroList:<HeroUid:""FHND9YQANJC"" HeroID:8 Star:6 Grade:4 Level:186 Seat:1 Force:42599 Attributes:<Type:124 Value:0.06 > Attributes:<Type:0 Value:2670.918894 > Attributes:<Type:113 Value:0.01 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > Attributes:<Type:1 Value:21232.133304 > CreateTime:1742584276 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHND9UZZS9C"" HeroID:5 Star:6 Grade:4 Level:185 Seat:2 Force:45206 Attributes:<Type:113 Value:0.01 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > Attributes:<Type:0 Value:2833.2063900000003 > Attributes:<Type:1 Value:22540.737240000002 > Attributes:<Type:124 Value:0.06 > CreateTime:1742398639 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDEYGENPC"" HeroID:3 Star:6 Grade:4 Level:182 Seat:3 Force:62188 Attributes:<Type:113 Value:0.01 > Attributes:<Type:118 Value:0 > Attributes:<Type:100 Value:0 > Attributes:<Type:124 Value:0.06 > Attributes:<Type:0 Value:3897.839125 > Attributes:<Type:1 Value:31006.243851999996 > CreateTime:1743175991 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHND9U8WQ9F"" HeroID:23 Star:6 Grade:4 Level:182 Seat:4 Force:46550 Attributes:<Type:113 Value:0.01 > Attributes:<Type:118 Value:0 > Attributes:<Type:100 Value:0 > Attributes:<Type:0 Value:2916.868878 > Attributes:<Type:1 Value:23215.349048 > Attributes:<Type:124 Value:0.06 > CreateTime:1742398866 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDE2HT0YC"" HeroID:24 Star:7 Grade:4 Level:186 Seat:5 Force:65607 Attributes:<Type:113 Value:0.01 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > Attributes:<Type:0 Value:4113.812567999999 > Attributes:<Type:1 Value:32697.341488000002 > Attributes:<Type:124 Value:",1743637421
PGF3NDEJZCWOC  ,2642,"infoList:<PlanID:1 HeroUidList:""FHNDE5WZNPC"" HeroUidList:""FHNDEZ9ZNKF"" HeroUidList:""FHNDEV2FMAG"" HeroUidList:""FHNDEZVMZBC"" HeroUidList:""FHNDE5WQ7UC"" > infoList:<PlanID:5 HeroUidList:""FHNDE5WZNPC"" HeroUidList:""FHNDEL00N61"" HeroUidList:""FHNDEZ9ZNKF"" HeroUidList:""FHNDEZVMZBC"" HeroUidList:""FHNDEV2FMAG"" heroList:<HeroUid:""FHNDE5WZNPC"" HeroID:20 Star:8 Grade:9 Level:402 Seat:1 Force:864955 Attributes:<Type:0 Value:53993.025175999996 > Attributes:<Type:1 Value:433011.6146304 > Attributes:<Type:124 Value:0.18 > Attributes:<Type:113 Value:0.01 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > CreateTime:1743061619 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDEL00N61"" HeroID:43 Star:7 Grade:9 Level:400 Seat:2 Force:867325 Attributes:<Type:113 Value:0.01 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > Attributes:<Type:124 Value:0.12 > Attributes:<Type:0 Value:55170.024129 > Attributes:<Type:1 Value:425965.777312 > CreateTime:1743294601 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDEZ9ZNKF"" HeroID:4 Star:7 Grade:9 Level:401 Seat:3 Force:794323 Attributes:<Type:124 Value:0.12 > Attributes:<Type:113 Value:0.01 > Attributes:<Type:118 Value:0 > Attributes:<Type:100 Value:0 > Attributes:<Type:0 Value:50136.613146 > Attributes:<Type:1 Value:393230.413888 > CreateTime:1743206719 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDEZVMZBC"" HeroID:24 Star:5 Grade:10 Level:450 Seat:4 Force:675414 Attributes:<Type:0 Value:43138.611537 > Attributes:<Type:1 Value:330305.99553599994 > Attributes:<Type:113 Value:0.01 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > Attributes:<Type:124 Value:0 > CreateTime:1743205975 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDEV2FMAG"" HeroID:29 Star:7 Grade:6 Level:291 Seat:5 Force:706463 Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > Attributes:<Type:124 Value:0.12 > Attributes:<Type:0 Value:44307.168332 > Attributes:<Type:1 Value:352006.466656 > Attributes:<Type:113 Value:0.01",1743611006
PGF3NDEJZCWOC  ,2642,"infoList:<PlanID:3 HeroUidList:""FHNDEZVMZBC"" HeroUidList:""FHNDE5WZNPC"" HeroUidList:""FHNDEL00N61"" HeroUidList:""FHNDEOP62PC"" HeroUidList:""FHNDEZE942C"" heroList:<HeroUid:""FHNDEZVMZBC"" HeroID:24 Star:5 Grade:10 Level:450 Seat:1 Force:675414 Attributes:<Type:0 Value:43138.611537 > Attributes:<Type:1 Value:330305.99553599994 > Attributes:<Type:113 Value:0.01 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > Attributes:<Type:124 Value:0 > CreateTime:1743205975 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDE5WZNPC"" HeroID:20 Star:8 Grade:9 Level:402 Seat:2 Force:864955 Attributes:<Type:0 Value:53993.025175999996 > Attributes:<Type:1 Value:433011.6146304 > Attributes:<Type:124 Value:0.18 > Attributes:<Type:113 Value:0.01 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > CreateTime:1743061619 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDEL00N61"" HeroID:43 Star:7 Grade:9 Level:400 Seat:3 Force:867325 Attributes:<Type:113 Value:0.01 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > Attributes:<Type:124 Value:0.12 > Attributes:<Type:0 Value:55170.024129 > Attributes:<Type:1 Value:425965.777312 > CreateTime:1743294601 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDEOP62PC"" HeroID:25 Star:6 Grade:0 Level:1 Seat:4 Force:534080 Attributes:<Type:118 Value:0 > Attributes:<Type:124 Value:0.06 > Attributes:<Type:0 Value:34292.910293999994 > Attributes:<Type:1 Value:259737.596856 > Attributes:<Type:113 Value:0.01 > Attributes:<Type:100 Value:0 > CreateTime:1743310698 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDEZE942C"" HeroID:6 Star:6 Grade:0 Level:1 Seat:5 Force:534080 Attributes:<Type:124 Value:0.06 > Attributes:<Type:113 Value:0.01 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > Attributes:<Type:0 Value:34292.910293999994 > Attributes:<Type:1 Value:259737.596856 > CreateTime:1743207241 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > artifactSkills:<HeroUid:""FHNDEZVMZBC"" > artifactSkills:<HeroUid:""FHNDE5WZNPC""",1743611006
PFBRNDZ2H694C  ,2208,"infoList:<PlanID:2 HeroUidList:"""" > infoList:<PlanID:7 HeroUidList:""FHNDZ2KPZ6C"" HeroUidList:""FHNDZ4N2CXC"" HeroUidList:""FHNDZV7M3GC"" HeroUidList:""FHNDZ2868AC"" HeroUidList:""FHNDZVOPHRC"" WallSkillList:6000 WallSkillList:6001 WallSkillList:6010 > infoList:<PlanID:8 HeroUidList:""FHNDZ2KPZ6C"" HeroUidList:""FHNDZ4N2CXC"" HeroUidList:""FHNDZV7M3GC"" HeroUidList:""FHNDZ2868AC"" HeroUidList:""FHNDZVOPHRC"" WallSkillList:6000 WallSkillList:6001 WallSkillList:6010 > infoList:<PlanID:1 HeroUidList:""FHNDZ2868AC"" HeroUidList:""FHNDZ4N2CXC"" HeroUidList:""FHND9V5R8OC"" HeroUidList:""FHND8PZUNPC"" HeroUidList:""FHNDZV7M3GC"" > infoList:<PlanID:5 HeroUidList:""FHND8PZUNPC"" HeroUidList:""FHNDZ4N2CXC"" HeroUidList:""FHNDZV7M3GC"" HeroUidList:""FHNDZ2868AC"" HeroUidList:""FHND9V5R8OC"" heroList:<HeroUid:""FHND8PZUNPC"" HeroID:44 Star:5 Grade:38 Level:1850 Seat:1 Force:80341157 Attributes:<Type:104 Value:0.01 > Attributes:<Type:122 Value:0.01 > Attributes:<Type:133 Value:0.05 > Attributes:<Type:119 Value:0.036 > Attributes:<Type:121 Value:0.006 > Attributes:<Type:131 Value:0.03 > Attributes:<Type:100 Value:0 > Attributes:<Type:130 Value:0.05 > Attributes:<Type:206 Value:0.01 > Attributes:<Type:102 Value:0.03 > Attributes:<Type:101 Value:0.036 > Attributes:<Type:1 Value:3.6347561936257206e+07 > Attributes:<Type:114 Value:0.03 > Attributes:<Type:123 Value:0.01 > Attributes:<Type:116 Value:0.05 > Attributes:<Type:132 Value:0.03 > Attributes:<Type:124 Value:0 > Attributes:<Type:0 Value:5.499199430877451e+06 > Attributes:<Type:134 Value:0.03 > Attributes:<Type:113 Value:0.03 > Attributes:<Type:103 Value:0.03 > Attributes:<Type:118 Value:0 > Attributes:<Type:115 Value:0.03 > Attributes:<Type:204 Value:0.015 > Attributes:<Type:117 Value:0.03 > CreateTime:1740366146 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDZ4N2CXC"" HeroID:16 Star:9 Grade:38 Level:1850 Seat:2 Force:80995933 Attributes:<Type:0 Value:5.695769110099951e+06 > Attributes:<Type:206 Value:0.01 > Attributes:<Type:134 Value:0.03 > Attributes:<Type:133 Value:0.05 > Attributes:<Type:121 Val",1743611453
PFEONDVLIT4AC  ,2519,"infoList:<PlanID:2 HeroUidList:"""" > infoList:<PlanID:1 HeroUidList:""FHNDVOSFBKC"" HeroUidList:""FHNDVLOQ53F"" HeroUidList:""FHND9UMHNPC"" HeroUidList:""FHNDVLQ2S0P"" HeroUidList:""FHNDVL5M6OC"" > infoList:<PlanID:5 HeroUidList:""FHNDVLQ2S0P"" HeroUidList:""FHND9UMHNPC"" HeroUidList:""FHNDVLOQ53F"" HeroUidList:""FHNDVL5M6OC"" HeroUidList:""FHNDVOSFBKC"" heroList:<HeroUid:""FHNDVLQ2S0P"" HeroID:24 Star:9 Grade:19 Level:924 Seat:1 Force:15714289 Attributes:<Type:124 Value:0.24 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > Attributes:<Type:0 Value:948697.91250385 > Attributes:<Type:1 Value:8.1247065127727995e+06 > CreateTime:1742097021 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHND9UMHNPC"" HeroID:34 Star:5 Grade:21 Level:1000 Seat:2 Force:16617265 Attributes:<Type:0 Value:993324.556522375 > Attributes:<Type:1 Value:8.6706692612334e+06 > Attributes:<Type:124 Value:0 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > CreateTime:1742388282 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDVLOQ53F"" HeroID:36 Star:7 Grade:19 Level:924 Seat:3 Force:13169557 Attributes:<Type:124 Value:0.12 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > Attributes:<Type:0 Value:770011.6793786001 > Attributes:<Type:1 Value:7.0094636450874e+06 > CreateTime:1742099603 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDVL5M6OC"" HeroID:19 Star:8 Grade:19 Level:930 Seat:4 Force:13330897 Attributes:<Type:0 Value:764709.3655872 > Attributes:<Type:1 Value:7.213223019873599e+06 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > Attributes:<Type:124 Value:0.18 > CreateTime:1742092295 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDVOSFBKC"" HeroID:14 Star:8 Grade:19 Level:927 Seat:5 Force:13336936 Attributes:<Type:0 Value:801496.6845125499 > Attributes:<Type:1 Value:6.924963102678599e+06 > Attributes:<Type:124 Value:0.18 > Attributes:<Type:100 Value:0 > Attributes:<Type:118 Value:0 > CreateTime:1742105761 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > artifact",1743637368
G69NDTPQSLCC  ,857,"infoList:<PlanID:14 HeroUidList:""FHNDIF47WZC"" HeroUidList:""FHNDI587NPC"" HeroUidList:""FHNDH8IFBMG"" HeroUidList:""FHND8JM0UWC"" HeroUidList:""FHNDJU9PONC"" > isInit:false ",1743637377
GTFNDXHQ4VAC  ,529,"infoList:<PlanID:14 HeroUidList:""FHNDXHEFNPC"" HeroUidList:""FHND21BK89F"" HeroUidList:""FHNDXAW2Z5F"" HeroUidList:""FHND2B9D8MF"" HeroUidList:""FHND2F21HOC"" > isInit:false ",1743637391
PF8DND8A5BI9C  ,2343,"infoList:<PlanID:1 HeroUidList:""FHND870KNPC"" HeroUidList:""FHND872P91C"" HeroUidList:""FHND8Y092YW"" HeroUidList:""FHNDLUAR2JC"" HeroUidList:""FHNDL2ZSJJC"" > infoList:<PlanID:5 HeroUidList:""FHNDL2ZSJJC"" HeroUidList:""FHND872P91C"" HeroUidList:""FHND8Y092YW"" HeroUidList:""FHND870KNPC"" HeroUidList:""FHNDQ4NS62C"" heroList:<HeroUid:""FHNDL2ZSJJC"" HeroID:91 Star:5 Grade:39 Level:1900 Seat:1 Force:73411514 Attributes:<Type:117 Value:0.02 > Attributes:<Type:124 Value:0 > Attributes:<Type:0 Value:4.825805018793325e+06 > Attributes:<Type:1 Value:3.48050741741752e+07 > Attributes:<Type:105 Value:0.01 > Attributes:<Type:114 Value:0.03 > Attributes:<Type:113 Value:0.03 > Attributes:<Type:100 Value:0 > Attributes:<Type:133 Value:0.02 > Attributes:<Type:103 Value:0.03 > Attributes:<Type:123 Value:0.01 > Attributes:<Type:14 Value:0 > Attributes:<Type:104 Value:0.01 > Attributes:<Type:116 Value:0.04 > Attributes:<Type:120 Value:0.03 > Attributes:<Type:115 Value:0.03 > Attributes:<Type:118 Value:0 > CreateTime:1743523790 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHND872P91C"" HeroID:16 Star:9 Grade:37 Level:1800 Seat:2 Force:77262652 Attributes:<Type:124 Value:0.24 > Attributes:<Type:133 Value:0.02 > Attributes:<Type:114 Value:0.03 > Attributes:<Type:1 Value:3.77443026170892e+07 > Attributes:<Type:0 Value:4.939793727066451e+06 > Attributes:<Type:100 Value:0 > Attributes:<Type:123 Value:0.01 > Attributes:<Type:105 Value:0.01 > Attributes:<Type:115 Value:0.03 > Attributes:<Type:117 Value:0.02 > Attributes:<Type:14 Value:0 > Attributes:<Type:116 Value:0.04 > Attributes:<Type:113 Value:0.03 > Attributes:<Type:104 Value:0.01 > Attributes:<Type:120 Value:0.03 > Attributes:<Type:103 Value:0.03 > Attributes:<Type:118 Value:0 > CreateTime:1740744367 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHND8Y092YW"" HeroID:34 Star:12 Grade:42 Level:2050 Seat:3 Force:171869324 Attributes:<Type:117 Value:0.02 > Attributes:<Type:123 Value:0.01 > Attributes:<Type:1 Value:8.175102034138241e+07 > Attributes:<Type:120 Value:0.03 > Attri",1743637401
PFIWNDB5P2FKC  ,1952,"infoList:<PlanID:1 HeroUidList:""FHND70AIVMC"" HeroUidList:""FHND8TISX6C"" HeroUidList:""FHND7EBU9EC"" HeroUidList:""FHNDB924GWW"" HeroUidList:""FHNDB7NPCRF"" > isInit:false ",1743625065
PFIWNDB5P2FKC  ,1952,"infoList:<PlanID:1 HeroUidList:""FHNDB924GWW"" HeroUidList:""FHND70AIVMC"" HeroUidList:""FHND8TISX6C"" HeroUidList:""FHND7EBU9EC"" HeroUidList:""FHNDB7NPCRF"" > isInit:false ",1743625084
PF7GNDZHKNQRC  ,2233,"infoList:<PlanID:1 HeroUidList:""FHNDZHKHBZC"" HeroUidList:""FHNDZEXITZC"" HeroUidList:""FHND9MSYVRN"" HeroUidList:""FHND8MUVWLF"" HeroUidList:""FHND9MS8DMC"" > infoList:<PlanID:4 HeroUidList:""FHND8MX7NPC"" HeroUidList:""FHNDZE30LJF"" HeroUidList:""FHND9MUW9QC"" HeroUidList:""FHND9MITY4C"" HeroUidList:""FHND9USMLAC"" heroList:<HeroUid:""FHND8MX7NPC"" HeroID:25 Star:6 Grade:0 Level:1 Seat:1 Force:4333750 Attributes:<Type:121 Value:0.006 > Attributes:<Type:113 Value:0.03 > Attributes:<Type:116 Value:0.01 > Attributes:<Type:118 Value:0 > Attributes:<Type:1 Value:2.1899243028655997e+06 > Attributes:<Type:0 Value:267978.28540699993 > Attributes:<Type:102 Value:0.03 > Attributes:<Type:100 Value:0 > Attributes:<Type:122 Value:0.01 > Attributes:<Type:117 Value:0.02 > Attributes:<Type:115 Value:0.03 > Attributes:<Type:101 Value:0.0108 > Attributes:<Type:130 Value:0.02 > Attributes:<Type:103 Value:0.03 > Attributes:<Type:114 Value:0.03 > Attributes:<Type:134 Value:0.02 > Attributes:<Type:124 Value:0.06 > CreateTime:1740408266 AltarCellID:4 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDZE30LJF"" HeroID:22 Star:5 Grade:0 Level:1 Seat:2 Force:4048380 Attributes:<Type:124 Value:0 > Attributes:<Type:134 Value:0.02 > Attributes:<Type:101 Value:0.0108 > Attributes:<Type:113 Value:0.03 > Attributes:<Type:130 Value:0.02 > Attributes:<Type:118 Value:0 > Attributes:<Type:0 Value:253790.26097067495 > Attributes:<Type:1 Value:2.0180580420181998e+06 > Attributes:<Type:116 Value:0.01 > Attributes:<Type:102 Value:0.03 > Attributes:<Type:117 Value:0.02 > Attributes:<Type:121 Value:0.006 > Attributes:<Type:122 Value:0.01 > Attributes:<Type:114 Value:0.03 > Attributes:<Type:115 Value:0.03 > Attributes:<Type:103 Value:0.03 > Attributes:<Type:100 Value:0 > CreateTime:1740258705 AltarCellID:1 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHND9MUW9QC"" HeroID:10 Star:5 Grade:0 Level:1 Seat:3 Force:4016827 Attributes:<Type:0 Value:248686.701472275 > Attributes:<Type:113 Value:0.03 > Attributes:<Type:134 Value:0.02 > Attributes:<Type:115 Value:0.03 > Attributes:<Typ",1743610971
