id,region,resp,__time__
PFP4ND5ODMACC,1416,"infoList:<PlanID:3 HeroUidList:""FHNDH9WT2XC"" HeroUidList:""FHNDHKMNNPC"" HeroUidList:""FHNDKM8CGJC"" HeroUidList:""FHNDHKCBDOC"" HeroUidList:""FHND9M89RVC"" heroList:<HeroUid:""FHNDH9WT2XC"" HeroID:34 Star:11 Grade:49 Level:2400 Seat:1 Force:579015596 Attributes:<Type:131 Value:0.02 > Attributes:<Type:122 Value:0.025 > Attributes:<Type:100 Value:0 > Attributes:<Type:124 Value:0.36 > Attributes:<Type:134 Value:0.02 > Attributes:<Type:104 Value:0.043 > Attributes:<Type:127 Value:0.024 > Attributes:<Type:133 Value:0.015 > Attributes:<Type:105 Value:0.022 > Attributes:<Type:110 Value:0.01 > Attributes:<Type:116 Value:0.039 > Attributes:<Type:101 Value:0.0108 > Attributes:<Type:118 Value:0 > Attributes:<Type:0 Value:3.7235571340262406e+07 > Attributes:<Type:123 Value:0.01 > Attributes:<Type:119 Value:0.006 > Attributes:<Type:120 Value:0.03 > Attributes:<Type:205 Value:0.05 > Attributes:<Type:117 Value:0.024 > Attributes:<Type:130 Value:0.02 > Attributes:<Type:207 Value:0.1 > Attributes:<Type:132 Value:0.02 > Attributes:<Type:14 Value:0 > Attributes:<Type:1 Value:2.81131025429604e+08 > Attributes:<Type:115 Value:0.024 > Attributes:<Type:202 Value:0.015 > CreateTime:1736007065 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDHKMNNPC"" HeroID:35 Star:9 Grade:49 Level:2400 Seat:2 Force:410644022 Attributes:<Type:132 Value:0.02 > Attributes:<Type:122 Value:0.025 > Attributes:<Type:123 Value:0.01 > Attributes:<Type:116 Value:0.039 > Attributes:<Type:130 Value:0.02 > Attributes:<Type:127 Value:0.024 > Attributes:<Type:124 Value:0.24 > Attributes:<Type:1 Value:2.000463019710555e+08 > Attributes:<Type:120 Value:0.03 > Attributes:<Type:134 Value:0.02 > Attributes:<Type:110 Value:0.01 > Attributes:<Type:117 Value:0.024 > Attributes:<Type:131 Value:0.02 > Attributes:<Type:202 Value:0.015 > Attributes:<Type:205 Value:0.05 > Attributes:<Type:100 Value:0 > Attributes:<Type:0 Value:2.6324715095638204e+07 > Attributes:<Type:105 Value:0.022 > Attributes:<Type:115 Value:0.024 > Attributes:<Type:104 Value:0.043 > Attributes:<Type:133",2025-04-03 00:17:10
GTLNDXOJXSUC,566,"infoList:<PlanID:7 HeroUidList:""FHNDXOY1S8F"" HeroUidList:""FHNDR2ZH1WP"" HeroUidList:""FHND3DCAM8C"" HeroUidList:""FHNDAPBBNPC"" HeroUidList:""FHNDTU8WXYC"" WallSkillList:6000 WallSkillList:6010 WallSkillList:0 > infoList:<PlanID:12 HeroUidList:""FHNDTU8WXYC"" HeroUidList:""FHNDR2ZH1WP"" HeroUidList:""FHND3DCAM8C"" HeroUidList:""FHNDAPBBNPC"" HeroUidList:""FHNDVIY0EQC"" WallSkillList:6010 WallSkillList:6000 WallSkillList:6001 > infoList:<PlanID:13 HeroUidList:""FHNDXOJ6Z6C"" HeroUidList:""FHNDRPWDBNC"" HeroUidList:""FHNDBT1TN0C"" HeroUidList:""FHND2IBYH4F"" HeroUidList:""FHNDR411UQC"" WallSkillList:0 WallSkillList:0 WallSkillList:0 > infoList:<PlanID:15 HeroUidList:""FHNDAPBBNPC"" HeroUidList:""FHNDR2ZH1WP"" HeroUidList:""FHND3DCAM8C"" HeroUidList:""FHNDXOY1S8F"" HeroUidList:""FHNDTU8WXYC"" WallSkillList:6000 WallSkillList:6010 WallSkillList:6001 > infoList:<PlanID:14 HeroUidList:""FHNDR2ZH1WP"" HeroUidList:""FHND3DCAM8C"" HeroUidList:""FHNDAPBBNPC"" HeroUidList:""FHNDVIY0EQC"" HeroUidList:""FHNDTU8WXYC"" > infoList:<PlanID:2 HeroUidList:""FHNDAPBBNPC"" HeroUidList:""FHNDR2ZH1WP"" HeroUidList:""FHND3DCAM8C"" HeroUidList:""FHNDVIY0EQC"" HeroUidList:""FHNDTU8WXYC"" heroList:<HeroUid:""FHNDVIY0EQC"" HeroID:82 Star:7 Grade:71 Level:3514 Seat:3 Force:1876167972 Attributes:<Type:104 Value:0.018 > Attributes:<Type:127 Value:0.02 > Attributes:<Type:101 Value:0.006 > Attributes:<Type:105 Value:0.012 > Attributes:<Type:1 Value:9.306486633105298e+08 > Attributes:<Type:117 Value:0.02 > Attributes:<Type:205 Value:0.1 > Attributes:<Type:103 Value:0.006 > Attributes:<Type:204 Value:0.01 > Attributes:<Type:110 Value:0.02 > Attributes:<Type:121 Value:0.0132 > Attributes:<Type:120 Value:0.06 > Attributes:<Type:122 Value:0.01 > Attributes:<Type:0 Value:1.1818991367040502e+08 > Attributes:<Type:123 Value:0.01 > Attributes:<Type:124 Value:0.12 > Attributes:<Type:130 Value:0.036 > Attributes:<Type:203 Value:0.049 > Attributes:<Type:119 Value:0.0108 > Attributes:<Type:133 Value:0.072 > CreateTime:1741826812 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDTU8WXYC"" HeroID:91 Star:",2025-04-03 01:15:31
PFCTNDJ9YFL1C,1311,"infoList:<PlanID:1 HeroUidList:""FHNDK26VB8C"" HeroUidList:""FHNDYPYHUUC"" HeroUidList:""FHND8AJFIUC"" HeroUidList:""FHNDAMH99LC"" HeroUidList:""FHNDEULP0HC"" > infoList:<PlanID:15 HeroUidList:""FHNDK26VB8C"" HeroUidList:""FHNDAG0DNPC"" HeroUidList:""FHNDEULP0HC"" HeroUidList:""FHNDAMH99LC"" HeroUidList:""FHND8AJFIUC"" WallSkillList:6010 WallSkillList:6001 WallSkillList:6000 > infoList:<PlanID:14 HeroUidList:""FHNDK26VB8C"" HeroUidList:""FHNDAG0DNPC"" HeroUidList:""FHNDAMH99LC"" HeroUidList:""FHNDEULP0HC"" HeroUidList:""FHND8AJFIUC"" > infoList:<PlanID:5 HeroUidList:""FHNDYPYHUUC"" HeroUidList:""FHNDEULP0HC"" HeroUidList:""FHNDAMH99LC"" HeroUidList:""FHNDK26VB8C"" HeroUidList:""FHND8AJFIUC"" heroList:<HeroUid:""FHNDYPYHUUC"" HeroID:29 Star:11 Grade:0 Level:1 Seat:1 Force:682143548 Attributes:<Type:119 Value:0.0108 > Attributes:<Type:122 Value:0.027999999999999997 > Attributes:<Type:130 Value:0.040999999999999995 > Attributes:<Type:123 Value:0.018 > Attributes:<Type:117 Value:0.052 > Attributes:<Type:120 Value:0.036 > Attributes:<Type:0 Value:4.46861447258562e+07 > Attributes:<Type:121 Value:0.0108 > Attributes:<Type:131 Value:0.036 > Attributes:<Type:133 Value:0.046 > Attributes:<Type:115 Value:0.036 > Attributes:<Type:128 Value:0.018 > Attributes:<Type:132 Value:0.036 > Attributes:<Type:116 Value:0.07100000000000001 > Attributes:<Type:118 Value:0 > Attributes:<Type:102 Value:0.084 > Attributes:<Type:114 Value:0.044 > Attributes:<Type:104 Value:0.053000000000000005 > Attributes:<Type:127 Value:0.024 > Attributes:<Type:14 Value:0.02 > Attributes:<Type:124 Value:0.36 > Attributes:<Type:113 Value:0.048999999999999995 > Attributes:<Type:105 Value:0.040999999999999995 > Attributes:<Type:206 Value:0.015 > Attributes:<Type:103 Value:0.0168 > Attributes:<Type:100 Value:0 > Attributes:<Type:1 Value:3.246543704495608e+08 > Attributes:<Type:110 Value:0.018 > Attributes:<Type:101 Value:0.0084 > Attributes:<Type:207 Value:0.05 > Attributes:<Type:134 Value:0.036 > CreateTime:1739156424 AltarCellID:0 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDEULP0HC"" HeroID:92 ",2025-04-03 01:40:32
GIJNDRDBDZDC,658,"infoList:<PlanID:1 HeroUidList:""FHNDIWV5XPC"" HeroUidList:""FHNDU3ZNPCC"" HeroUidList:""FHNDR9DNPIC"" HeroUidList:""FHND9IZNXUC"" HeroUidList:""FHNDY2Z4KLC"" > infoList:<PlanID:9 HeroUidList:"""" > infoList:<PlanID:11 HeroUidList:""FHNDSGOIEMG"" HeroUidList:""FHNDR25GNFF"" HeroUidList:""FHNDY2Z4KLC"" HeroUidList:""FHNDU3ZNPCC"" HeroUidList:""FHND5TMYVHW"" heroList:<HeroUid:""FHNDSGOIEMG"" HeroID:49 Star:13 Grade:0 Level:1 Seat:1 Force:7528221570 Attributes:<Type:133 Value:0.066 > Attributes:<Type:205 Value:0.15 > Attributes:<Type:127 Value:0.076 > Attributes:<Type:204 Value:0.05 > Attributes:<Type:103 Value:0.044399999999999995 > Attributes:<Type:203 Value:0.015 > Attributes:<Type:121 Value:0.0156 > Attributes:<Type:130 Value:0.07 > Attributes:<Type:100 Value:0 > Attributes:<Type:14 Value:0 > Attributes:<Type:116 Value:0.134 > Attributes:<Type:105 Value:0.07500000000000001 > Attributes:<Type:102 Value:0.036 > Attributes:<Type:113 Value:0.09 > Attributes:<Type:1 Value:3.804993213314848e+09 > Attributes:<Type:110 Value:0.018 > Attributes:<Type:117 Value:0.098 > Attributes:<Type:124 Value:0.52 > Attributes:<Type:131 Value:0.08199999999999999 > Attributes:<Type:128 Value:0.038 > Attributes:<Type:104 Value:0.07500000000000001 > Attributes:<Type:0 Value:4.654035446898245e+08 > Attributes:<Type:123 Value:0.03 > Attributes:<Type:115 Value:0.114 > Attributes:<Type:120 Value:0.078 > Attributes:<Type:101 Value:0.054 > Attributes:<Type:114 Value:0.066 > Attributes:<Type:132 Value:0.05 > Attributes:<Type:119 Value:0.0108 > Attributes:<Type:122 Value:0.043 > Attributes:<Type:134 Value:0.062 > Attributes:<Type:118 Value:0 > CreateTime:1730678063 AltarCellID:4 Skin:0 SubStar:0 Awake:0 > heroList:<HeroUid:""FHNDR25GNFF"" HeroID:43 Star:8 Grade:0 Level:1 Seat:2 Force:6888516685 Attributes:<Type:113 Value:0.09 > Attributes:<Type:122 Value:0.043 > Attributes:<Type:101 Value:0.054 > Attributes:<Type:124 Value:0.18 > Attributes:<Type:0 Value:4.234787291609432e+08 > Attributes:<Type:110 Value:0.018 > Attributes:<Type:205 Value:0.15 > Attributes:<Type:105 Value",2025-04-03 01:42:20
G5LNDS4QUTFC,752,"infoList:<PlanID:8 HeroUidList:""FHNDS9SRLBC"" HeroUidList:""FHNDSBKR99F"" HeroUidList:""FHNDS4QZNPC"" HeroUidList:""FHNDSYCYBNC"" HeroUidList:""FHNDSHVYWCC"" WallSkillList:6020 WallSkillList:0 WallSkillList:0 > infoList:<PlanID:13 HeroUidList:""FHNDYG5BHEC"" HeroUidList:""FHND42QE0ZC"" HeroUidList:""FHNDTP6AUVD"" HeroUidList:""FHNDI3Y1MLM"" HeroUidList:""FHNDSBKR99F"" WallSkillList:6014 WallSkillList:6021 WallSkillList:6010 > infoList:<PlanID:16 HeroUidList:""FHND3KC01EF"" HeroUidList:""FHNDYG5BHEC"" HeroUidList:""FHND42QE0ZC"" HeroUidList:""FHNDKKCV17C"" HeroUidList:""FHND9M9XAUC"" WallSkillList:6001 WallSkillList:6000 WallSkillList:0 > infoList:<PlanID:3 HeroUidList:""FHND3KC01EF"" HeroUidList:""FHND9M9XAUC"" HeroUidList:""FHNDTP6AUVD"" HeroUidList:""FHNDYG5BHEC"" HeroUidList:""FHND42QE0ZC"" heroList:<HeroUid:""FHND3KC01EF"" HeroID:34 Star:16 Grade:159 Level:7937 Seat:1 Force:22076986932 Attributes:<Type:141 Value:0.015 > Attributes:<Type:204 Value:0.025 > Attributes:<Type:117 Value:0.132 > Attributes:<Type:14 Value:0 > Attributes:<Type:133 Value:0.2 > Attributes:<Type:115 Value:0.12 > Attributes:<Type:122 Value:0.048 > Attributes:<Type:130 Value:0.132 > Attributes:<Type:114 Value:0.132 > Attributes:<Type:207 Value:0.125 > Attributes:<Type:0 Value:1.4691116383001502e+09 > Attributes:<Type:127 Value:0.092 > Attributes:<Type:134 Value:0.124 > Attributes:<Type:110 Value:0.01 > Attributes:<Type:131 Value:0.112 > Attributes:<Type:120 Value:0.054 > Attributes:<Type:1 Value:1.0324093826492857e+10 > Attributes:<Type:123 Value:0.055999999999999994 > Attributes:<Type:104 Value:0.10200000000000001 > Attributes:<Type:100 Value:0 > Attributes:<Type:121 Value:0.0956 > Attributes:<Type:124 Value:0.7 > Attributes:<Type:132 Value:0.11599999999999999 > Attributes:<Type:118 Value:0 > Attributes:<Type:202 Value:0.0405 > Attributes:<Type:203 Value:0.0405 > Attributes:<Type:128 Value:0.01 > Attributes:<Type:116 Value:0.198 > Attributes:<Type:102 Value:0.154 > Attributes:<Type:103 Value:0.14200000000000002 > Attributes:<Type:101 Value:0.0956 > Attributes:<Type:205 Value:0.1",2025-04-03 01:44:29
GL0NDJDZ8RUC,1229,"infoList:<PlanID:14 HeroUidList:""FHNDHY00LWC"" HeroUidList:""FHNDH9X8NPC"" HeroUidList:""FHNDJ5JVA0C"" HeroUidList:""FHNDJD815WC"" HeroUidList:""FHNDA27FGLC"" > isInit:false ",2025-04-03 01:47:28
PGCYNDENOBZOC,1127,"infoList:<PlanID:16 HeroUidList:""FHND6YYR2BG"" HeroUidList:""FHNDINDDCVC"" HeroUidList:""FHNDAKFT2CF0"" HeroUidList:""FHNDID4721C"" HeroUidList:""FHND62LOSK0"" WallSkillList:6010 WallSkillList:6001 WallSkillList:6000 > infoList:<PlanID:12 HeroUidList:""FHNDI2EZNPC"" HeroUidList:""FHND9MKBAWC"" HeroUidList:""FHNDJU9MT9C"" HeroUidList:""FHNDINDDCVC"" HeroUidList:""FHNDYM54L5C"" WallSkillList:6000 WallSkillList:6014 WallSkillList:6010 > infoList:<PlanID:1 HeroUidList:""FHNDI2EZNPC"" HeroUidList:""FHNDIUZ8MQG"" HeroUidList:""FHND9MKBAWC"" HeroUidList:""FHNDKMA1QNC"" HeroUidList:""FHNDYM54L5C"" > infoList:<PlanID:4 HeroUidList:""FHNDJM7ER9C"" HeroUidList:""FHNDIUZ8MQG"" HeroUidList:""FHND6YYR2BG"" HeroUidList:""FHNDID4721C"" HeroUidList:""FHNDAKFT2CF0"" heroList:<HeroUid:""FHNDJM7ER9C"" HeroID:13 Star:14 Grade:0 Level:1 Seat:1 Force:7656802277 Attributes:<Type:102 Value:0.054 > Attributes:<Type:113 Value:0.066 > Attributes:<Type:100 Value:0.15 > Attributes:<Type:119 Value:0.018 > Attributes:<Type:205 Value:0.125 > Attributes:<Type:1 Value:3.539240180464217e+09 > Attributes:<Type:207 Value:0.125 > Attributes:<Type:120 Value:0.072 > Attributes:<Type:204 Value:0.04 > Attributes:<Type:131 Value:0.07 > Attributes:<Type:124 Value:0.6 > Attributes:<Type:114 Value:0.078 > Attributes:<Type:202 Value:0.0235 > Attributes:<Type:122 Value:0.043 > Attributes:<Type:133 Value:0.081 > Attributes:<Type:116 Value:0.127 > Attributes:<Type:121 Value:0.0132 > Attributes:<Type:110 Value:0.02 > Attributes:<Type:127 Value:0.036 > Attributes:<Type:123 Value:0.014 > Attributes:<Type:134 Value:0.07 > Attributes:<Type:103 Value:0.0408 > Attributes:<Type:132 Value:0.07 > Attributes:<Type:117 Value:0.086 > Attributes:<Type:104 Value:0.043 > Attributes:<Type:118 Value:0.15 > Attributes:<Type:0 Value:5.146952595980146e+08 > Attributes:<Type:206 Value:0.02 > Attributes:<Type:130 Value:0.066 > Attributes:<Type:105 Value:0.046 > Attributes:<Type:101 Value:0.041999999999999996 > Attributes:<Type:115 Value:0.062 > Attributes:<Type:14 Value:0.02 > CreateTime:1734369206 AltarCellID:8 Skin:1301 Sub",2025-04-03 02:00:53
PFZIND83LFW2C,1127,"infoList:<PlanID:14 HeroUidList:""FHNDI2EZNPC"" HeroUidList:""FHND9MKBAWC"" HeroUidList:""FHNDBF4WMFC"" HeroUidList:""FHNDYM54L5C"" HeroUidList:""FHNDKMA1QNC"" > isInit:false ",2025-04-03 02:02:02
PFF1ND5FUJEPC,1335,"infoList:<PlanID:8 HeroUidList:""FHND5ULSR3M"" HeroUidList:""FHND50DY3FC"" HeroUidList:""FHND50D4ZPC"" HeroUidList:""FHND8MHZDQC"" HeroUidList:""FHND5MBZRPG"" WallSkillList:6022 WallSkillList:0 WallSkillList:6014 > infoList:<PlanID:16 HeroUidList:""FHND518OIQF"" HeroUidList:""FHND5DKVKNF"" HeroUidList:""FHND8M5ONPC"" HeroUidList:""FHNDA1ULSEC"" HeroUidList:""FHND5NZFT8C"" WallSkillList:6020 WallSkillList:6023 WallSkillList:6021 > infoList:<PlanID:7 HeroUidList:""FHND5NZFT8C"" HeroUidList:""FHNDHCQC74C"" HeroUidList:""FHND5DKVKNF"" HeroUidList:""FHND518OIQF"" HeroUidList:""FHND50DY3FC"" WallSkillList:6022 WallSkillList:6010 WallSkillList:6014 > infoList:<PlanID:11 HeroUidList:""FHNDEG1GVTC"" HeroUidList:""FHND50D4ZPC"" HeroUidList:""FHNDKSONEWF"" HeroUidList:""FHND5MBZRPG"" HeroUidList:""FHND8MHZDQC"" heroList:<HeroUid:""FHNDEG1GVTC"" HeroID:92 Star:12 Grade:155 Level:7700 Seat:1 Force:18057829608 Attributes:<Type:135 Value:0.05 > Attributes:<Type:14 Value:0.03 > Attributes:<Type:1 Value:7.626506090849184e+09 > Attributes:<Type:103 Value:0.21000000000000002 > Attributes:<Type:116 Value:0.32000000000000006 > Attributes:<Type:123 Value:0.11900000000000001 > Attributes:<Type:120 Value:0.126 > Attributes:<Type:132 Value:0.226 > Attributes:<Type:114 Value:0.30000000000000004 > Attributes:<Type:130 Value:0.23199999999999998 > Attributes:<Type:205 Value:0.125 > Attributes:<Type:134 Value:0.229 > Attributes:<Type:113 Value:0.258 > Attributes:<Type:133 Value:0.28 > Attributes:<Type:207 Value:0.2 > Attributes:<Type:115 Value:0.28400000000000003 > Attributes:<Type:203 Value:0.0405 > Attributes:<Type:128 Value:0.018 > Attributes:<Type:131 Value:0.258 > Attributes:<Type:100 Value:0.15 > Attributes:<Type:145 Value:0.05 > Attributes:<Type:124 Value:0.44 > Attributes:<Type:117 Value:0.253 > Attributes:<Type:105 Value:0.16000000000000003 > Attributes:<Type:204 Value:0.03 > Attributes:<Type:110 Value:0.032 > Attributes:<Type:122 Value:0.147 > Attributes:<Type:0 Value:1.3039154359654794e+09 > Attributes:<Type:101 Value:0.15760000000000002 > Attributes:<Type:119 Value:0.1802",2025-04-03 02:05:30
GOWNDJHEAESC,1263,"infoList:<PlanID:14 HeroUidList:""FHNDJKGPZ7C"" HeroUidList:""FHNDHR24NPC"" HeroUidList:""FHNDJHLC1SC"" HeroUidList:""FHNDJ9V2ENF"" HeroUidList:""FHNDJ9JCQJF"" > isInit:false ",2025-04-03 02:07:18
